zipcode,grocery_stores,parks,libraries,health_centers,cta_train_stops,cta_bus_stops,crimes,z_grocery_stores,z_parks,z_libraries,z_health_centers,z_cta_train_stops,z_cta_bus_stops,z_crimes
60680,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60681,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60690,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60691,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60701,0,0,0,0,0,0,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.3412986774833275,-1.0378481857129973
60706,0,0,0,0,0,94,1,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-0.5006690915951592,-0.9426070566597128
60707,3,4,1,0,0,83,1,-0.6356890076784434,-0.8092256901207938,-0.17889548683772818,-0.7038624402239171,-0.9335798773412385,-0.5990406388799449,-0.9426070566597128
60803,0,0,0,0,0,7,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-1.2786986019384639,-1.0378481857129973
60804,0,0,0,0,2,76,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,0.006915406498823964,-0.6616407144248084,-1.0378481857129973
60805,0,0,0,0,0,66,0,-1.0665214248425712,-0.9841934069036682,-1.1146564949119988,-0.7038624402239171,-0.9335798773412385,-0.7510693937746136,-1.0378481857129973
60827,2,4,1,0,0,23,4,-0.7792998133998194,-0.8092256901207938,-0.17889548683772818,-0.7038624402239171,-0.9335798773412385,-1.1356127149787756,-0.6568836694998593
