address,zipcode,lattitude,longitude
3600 North Recreation Drive,60613,41.948658,-87.642472
Belmont & Lake Shore Drive,60614,41.922605,-87.652064
220 E Chicago Ave,60611,41.896827,-87.621575
3925 E 104th St,60617,41.706372,-87.528927
2045 N Lincoln Park West,60614,41.919658,-87.636379
6205 N Sheridan Rd,60660,41.994711,-87.655536
Berger Park 6205 N Sheridan,60660,41.99387,-87.71856
6205 N Sheridan Rd,60660,41.994711,-87.655536
8930 S Muskegon Ave,60617,41.732921,-87.555452
8930 S Muskegon,60617,41.732902,-87.540289
5445 S Drexel Ave,60615,41.796547,-87.603877
2460 W 102nd St,60642,41.708192,-87.68277
1461 W Ohio St,60642,41.892511,-87.664597
11555 S Stony Island Ave,60617,41.685498,-87.57647
(1800N) between Ashland (1600W) and Ridgeway (3750W),60614,41.922605,-87.652064
4921 N Marine Drive,60640,41.962149,-87.646887
425 E 45th St,60653,41.813063,-87.615303
425 E 45th St,60653,41.813063,-87.615303
6743 South Kedzie Avenue,60629,41.77132,-87.702908
5641 S Kenwood Ave,60637,41.792818,-87.593229
2318 N Lavergne Ave,60639,41.923288,-87.751205
11500 S Homewood Ave,60643,41.685059,-87.670558
Unnamed Road,67749,44.369922,-88.592101
346 W 104th St,60628,41.705215,-87.632466
1600-3750 W Bloomingdale Ave,60647,41.914046,-87.683155
3939 W 79th St,60652,41.749467,-87.720399
1966 W 111th St,60643,41.691942,-87.671524
3601 W Arthington St,60624,41.869961,-87.715542
3044 S Bonfield St,60608,41.839316,-87.653609
3044 S Bonfield St,60608,41.839316,-87.653609
6644 S University Ave,60637,41.773674,-87.598464
1801 S Indiana Ave,60616,41.857935,-87.622279
9729 SYates Ave,60617,41.703667,-87.564441
9729 S Yates Ave,60617,41.703667,-87.564441
1246 W 92nd St,60620,41.726781,-87.65489
1246 W 92nd St,60620,41.726781,-87.65489
3285 N Elston Ave,60618,41.940677,-87.700149
3285 North Elston Avenue,60618,41.940677,-87.700149
(1800N) between Ashland (1600W) and Ridgeway (3750W),60614,41.922605,-87.652064
3501 S Richmond St,60632,41.828947,-87.698424
5917 N Broadway,60660,41.989368,-87.660177
5917 N Broadway Chicago,60660,41.989368,-87.660177
5917 N Broadway,60660,41.989368,-87.660177
5917 N Broadway Chicago,60660,41.989368,-87.660177
5400 N Broadway,60640,41.979924,-87.660006
4437 N Magnolia Ave,60640,41.962861,-87.660966
4542 S Greenwood Ave,60653,41.812117,-87.599326
7100 N Harlem Ave,60631,42.009873,-87.806655
7100 N Harlem Ave,60631,42.009873,-87.806655
634 E 86th St,60619,41.738442,-87.608371
Bryn Mawr & Lake Shore Drive,60614,40.04962,-74.14453
5636 N Pulaski Rd,60646,41.983938,-87.728473
2045 N Lincoln Park West,60614,41.919658,-87.636379
1049 W Buena Ave,60613,41.958232,-87.656314
4501 N California Ave,60625,41.963107,-87.698519
5917 N Broadway Chicago,60660,41.989368,-87.660177
1200-5700 S Lake Shore Drive,60615,41.80685,-87.586141
3900 S Lake Shore Dr,60615,41.80685,-87.586141
1559 S Lake Shore Drive,60615,41.80685,-87.586141
4700 S Lake Shore Dr,60615,41.80739,-87.586615
5400 S Lake Shore Dr,60615,41.802587,-87.583758
500 E Mc Fetridge Dr,60615,41.865009,-87.615537
Lakefront Trail,60616,41.844869,-87.629531
