property_type,address,zip,price,beds,baths,location,sq_feet,latitude,longitude
Condo/Co-op,655 W Irving Park Rd #1508,60613,175000.0,1.0,1.0,Lake View,,41.9543345,-87.6469694
Condo/Co-op,3950 N Lake Shore Dr #1027,60613,149000.0,2.0,1.0,Lake View,850.0,41.9541371,-87.6459389
Condo/Co-op,655 W Irving Park Rd #3516,60613,249888.0,1.0,1.0,Lake View,840.0,41.9543345,-87.6469694
Single Family Residential,3704 N Marshfield Ave,60613,1200000.0,5.0,4.5,Lake View,4500.0,41.9490164,-87.6704694
Condo/Co-op,720 W Gordon Ter Unit 3M,60613,140000.0,1.0,1.0,Uptown,750.0,41.9582919,-87.6485882
Condo/Co-op,1526 W Belle Plaine Ave Unit 1W,60613,297500.0,2.0,1.0,Lake View,1200.0,41.9562573,-87.6688179
Condo/Co-op,3900 N Lake Shore Dr Unit 3A,60613,240000.0,2.0,2.0,Lake View,1250.0,41.9532673,-87.6452796
Condo/Co-op,1807 W Addison St Unit 2E,60613,419000.0,2.0,2.0,North Center,1360.0,41.9467587,-87.6743194
Condo/Co-op,3600 N Lake Shore Dr #1922,60613,129900.0,0.0,1.0,Lake View,,41.9490472,-87.6442679
Condo/Co-op,3660 N Lake Shore Dr #3212,60613,155000.0,0.0,1.0,Lake View,550.0,41.9496179,-87.6454385
Condo/Co-op,920 W Sheridan Rd #302,60613,349999.0,2.0,1.5,Lake View,1400.0,41.9529981,-87.6531
Condo/Co-op,4108 N Kenmore Ave Unit 3S,60613,360000.0,2.0,2.0,Uptown,1250.0,41.9568476,-87.6563292
Condo/Co-op,3950 N Lake Shore Dr #330,60613,194000.0,2.0,1.0,Lake View,790.0,41.9541371,-87.6459389
Condo/Co-op,655 W Irving Park Rd #4211,60613,167000.0,1.0,1.0,Lake View,,41.9543345,-87.6469694
Condo/Co-op,3608 N Pine Grove Ave Unit B7,60613,184900.0,1.0,1.0,Lake View,900.0,41.9480002,-87.6460176
Condo/Co-op,636 W Waveland Ave Unit 3D,60613,178888.0,1.0,1.0,Lake View,830.0,41.9502737,-87.6462832
Condo/Co-op,3600 N Lake Shore Dr #824,60613,169900.0,1.0,1.0,Lake View,925.0,41.9490472,-87.6442679
Condo/Co-op,3660 N Lake Shore Dr #2613,60613,315000.0,2.0,2.0,Lake View,,41.9496179,-87.6454385
Condo/Co-op,655 W Irving Park Rd #2004,60613,209999.0,1.0,1.0,Lake View,840.0,41.9543345,-87.6469694
Condo/Co-op,4343 N Clarendon Ave #715,60613,120000.0,1.0,1.0,Uptown,,41.9613408,-87.6493189
Condo/Co-op,655 W Irving Park Rd #1302,60613,319770.0,2.0,2.0,Lake View,1150.0,41.9543345,-87.6469694
Condo/Co-op,1151 W Grace St Unit 3S,60613,219900.0,1.0,1.0,Lake View,,41.9507306,-87.6586396
Condo/Co-op,3800 N Lake Shore Dr Unit 2C,60613,799900.0,3.0,3.0,Lake View,2800.0,41.9526534,-87.645509
Condo/Co-op,3723 N Wilton Ave #2,60613,464900.0,2.0,2.0,Lake View,,41.949829,-87.6528344
Condo/Co-op,3600 N Lake Shore Dr #1405,60613,215000.0,1.0,1.0,Lake View,,41.9490472,-87.6442679
Single Family Residential,1911 W Berenice Ave,60613,750000.0,3.0,2.0,North Center,1704.0,41.9512665,-87.6773563
Condo/Co-op,1524 W Addison St #1,60613,360000.0,2.0,2.0,Lake View,,41.9472902,-87.6673755
Condo/Co-op,3763 N Magnolia Ave #2,60613,215000.0,1.0,1.0,Lake View,900.0,41.9508472,-87.6601823
Condo/Co-op,3763 N Wilton Ave Unit 3N,60613,664900.0,3.0,3.0,Lake View,1800.0,41.9509376,-87.6530425
Condo/Co-op,4213 N Ashland Ave #3,60613,465000.0,2.0,2.0,Lake View,1600.0,41.9584433,-87.6686829
Condo/Co-op,4170 N Marine Dr Unit 10B,60613,365000.0,2.0,2.0,Uptown,1425.0,41.9576338,-87.647048
Condo/Co-op,4240 N Clarendon Ave Unit 302S,60613,134900.0,1.0,1.0,Uptown,600.0,41.9598753,-87.6504399
Condo/Co-op,1645 W Addison St #2,60657,430000.0,2.0,2.0,Lake View,,41.946687,-87.670616
Condo/Co-op,1474 W Byron St,60613,1395000.0,4.0,3.0,Lake View,3000.0,41.9526876,-87.6670878
Condo/Co-op,4343 N Clarendon Ave #1514,60613,155000.0,1.0,1.0,Uptown,800.0,41.9613408,-87.6493189
Condo/Co-op,711 W Gordon Ter #321,60613,225000.0,2.0,1.5,Uptown,,41.9576626,-87.648284
Condo/Co-op,3950 N Lake Shore Dr #1728,60613,315000.0,3.0,1.5,Lake View,,41.9541371,-87.6459389
Condo/Co-op,4240 N Clarendon Ave Unit 412N,60613,94000.0,1.0,1.0,Uptown,,41.9598753,-87.6504399
Condo/Co-op,3900 N Pine Grove Ave #405,60613,192000.0,1.0,1.0,Lake View,750.0,41.9531896,-87.6482658
Condo/Co-op,3615 N Ashland Ave Unit 3N,60613,439000.0,2.0,2.0,Lake View,1468.0,41.9474486,-87.6685351
Condo/Co-op,4250 N Marine Dr #533,60613,178000.0,1.0,1.0,Uptown,900.0,41.960242,-87.6474766
Condo/Co-op,923 W Cullom Ave Unit 1E,60613,378000.0,3.0,2.0,Uptown,1600.0,41.9602118,-87.6531118
Condo/Co-op,707 W Waveland Ave #1605,60613,124999.0,0.0,1.0,Lake View,850.0,41.9493496,-87.6469733
Condo/Co-op,711 W Gordon Ter #823,60613,249900.0,2.0,1.5,Uptown,1200.0,41.9576626,-87.648284
Single Family Residential,3830 N Racine Ave,60613,1199000.0,4.0,4.5,Lake View,4000.0,41.9520268,-87.659481
Condo/Co-op,4250 N Marine Dr #2407,60613,199900.0,1.0,1.0,Uptown,906.0,41.9601365,-87.6476881
Condo/Co-op,950 W Belle Plaine Ave Unit 1E,60613,298500.0,2.0,1.0,Uptown,1100.0,41.9566783,-87.6540088
Condo/Co-op,720 W Gordon Ter Unit 14G,60613,105900.0,0.0,1.0,Uptown,550.0,41.9582919,-87.6485882
Condo/Co-op,710 W Buena Ave Unit 3W,60613,539000.0,3.0,2.0,Uptown,1800.0,41.958786,-87.647826
Condo/Co-op,4144 N Sheridan Rd #303,60613,179900.0,1.0,1.0,Uptown,500.0,41.9577894,-87.6551282
Condo/Co-op,1424 W Byron St #1,60613,529900.0,3.0,2.0,Lake View,1800.0,41.9528151,-87.6652257
Condo/Co-op,3807 N Ravenswood Ave #1,60613,269000.0,2.0,1.0,Lake View,,41.9508361,-87.6735153
Condo/Co-op,3660 N Lake Shore Dr #4406,60613,269900.0,1.0,1.0,Lake View,,41.9496179,-87.6454385
Single Family Residential,3653 N Ravenswood Ave,60613,850000.0,3.0,4.0,Lake View,,41.9484961,-87.6734087
Condo/Co-op,720 W Gordon Ter Unit 22E,60613,155000.0,1.0,1.0,Uptown,750.0,41.9582919,-87.6485882
Condo/Co-op,710 W Bittersweet Pl #3,60613,415000.0,3.0,2.0,Uptown,1500.0,41.9559072,-87.6479682
