SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,5482 S WOODLAWN Ave #4,Chicago,IL,60615,635000,4.0,2.5,Hyde Park,2400.0,,1890.0,43,265.0,310.0,Active,,,http://www.redfin.com/IL/Chicago/5482-S-Woodlawn-Ave-60615/unit-4/home/39574596,MRED,10902928,N,Y,41.7956726,-87.5969893
MLS Listing,,Condo/Co-op,4800 S Lake Park Ave #806,Chicago,IL,60615,27000,2.0,1.0,Kenwood,1000.0,,1970.0,43,27.0,1120.0,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Lake-Park-Ave-60615/unit-806/home/172120938,MRED,10975539,N,Y,41.8074698,-87.5913632
MLS Listing,,Condo/Co-op,1722 E 55th St #3,Chicago,IL,60615,519000,5.0,3.0,Hyde Park,3000.0,,1909.0,43,173.0,905.0,Active,,,http://www.redfin.com/IL/Chicago/1722-E-55th-St-60615/unit-3/home/13945955,MRED,10975124,N,Y,41.7955063,-87.5829644
MLS Listing,,Condo/Co-op,847 E 52nd St #1,Chicago,IL,60615,170000,2.0,2.0,Hyde Park,,,1938.0,44,,378.0,Active,,,http://www.redfin.com/IL/Chicago/847-E-52nd-St-60615/unit-1/home/12588347,MRED,10974668,N,Y,41.8002301,-87.6047017
MLS Listing,,Condo/Co-op,4753 S Forrestville Ave Unit 3NS,Chicago,IL,60615,399900,4.0,2.0,Grand Boulevard,2215.0,,1898.0,44,181.0,251.0,Active,,,http://www.redfin.com/IL/Chicago/4753-S-Forrestville-Ave-60615/unit-3NS/home/148567660,MRED,10974624,N,Y,41.8078463,-87.6122547
MLS Listing,,Condo/Co-op,4956 S Champlain Ave Unit 3N,Chicago,IL,60653,415000,3.0,3.0,Grand Boulevard,3000.0,,2007.0,44,138.0,369.0,Active,,,http://www.redfin.com/IL/Chicago/4956-S-Champlain-Ave-60615/unit-3N/home/26796180,MRED,10952098,N,Y,41.8041381,-87.6103454
MLS Listing,,Condo/Co-op,4840 S Champlain Ave #1,Chicago,IL,60615,244300,2.0,2.0,Grand Boulevard,1668.0,,1899.0,44,146.0,149.0,Active,,,http://www.redfin.com/IL/Chicago/4840-S-Champlain-Ave-60615/unit-1/home/172585909,MRED,10974128,N,Y,41.806362,-87.6104129
MLS Listing,,Condo/Co-op,4800 S Lake Park Ave #809,Chicago,IL,60615,17500,2.0,1.0,Kenwood,1175.0,,1970.0,45,15.0,,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Lake-Park-Ave-60615/unit-809/home/174215015,MRED,10973637,N,Y,41.8074698,-87.5913632
MLS Listing,,Condo/Co-op,1221 E 53rd St #2,Chicago,IL,60615,215000,3.0,2.0,Hyde Park,1496.0,,1920.0,48,144.0,615.0,Active,,,http://www.redfin.com/IL/Chicago/1221-E-53rd-St-60615/unit-2/home/13947499,MRED,10963734,N,Y,41.799162,-87.5956161
MLS Listing,,Condo/Co-op,4800 S Chicago Beach Dr Unit 601S,Chicago,IL,60615,194900,2.0,2.0,Kenwood,1200.0,,1962.0,51,162.0,1013.0,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Chicago-Beach-Dr-60615/unit-601S/home/13948789,MRED,10969486,N,Y,41.806603,-87.586581
MLS Listing,,Condo/Co-op,1301 E Madison Park Ave #3,Chicago,IL,60615,725000,4.0,3.0,Kenwood,3000.0,,1916.0,51,242.0,825.0,Active,,,http://www.redfin.com/IL/Chicago/1301-E-Madison-Park-60615/unit-3/home/144969811,MRED,10969157,N,Y,41.8026752,-87.5947653
MLS Listing,,Townhouse,838 E 48th St,Chicago,IL,60615,575000,4.0,3.5,Kenwood,2068.0,1066.0,2009.0,52,278.0,150.0,Active,,,http://www.redfin.com/IL/Chicago/838-E-48th-St-60615/home/26824314,MRED,10968135,N,Y,41.8078755,-87.6050883
MLS Listing,,Single Family Residential,4915 S Forrestville Ave,Chicago,IL,60615,699900,5.0,4.5,Grand Boulevard,5100.0,2482.0,,55,137.0,,Active,,,http://www.redfin.com/IL/Chicago/4915-S-Forrestville-Ave-60615/home/13951627,MRED,10966326,N,Y,41.805303,-87.6122199
MLS Listing,,Condo/Co-op,4800 S Lake Park Ave Unit 902A,Chicago,IL,60615,45000,3.0,1.5,Kenwood,1200.0,,,55,38.0,1310.0,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Lake-Park-Ave-60615/unit-902A/home/173952867,MRED,10966122,N,Y,41.8074698,-87.5913632
MLS Listing,,Condo/Co-op,5016 S Blackstone Ave Unit 1S,Chicago,IL,60615,425000,3.0,2.0,Kenwood,2000.0,,,56,213.0,495.0,Active,,,http://www.redfin.com/IL/Chicago/5016-S-Blackstone-Ave-60615/unit-1S/home/18904039,MRED,10959221,N,Y,41.8036731,-87.5908422
MLS Listing,,Condo/Co-op,4719 S Greenwood Ave #3,Chicago,IL,60615,349000,3.0,2.0,Kenwood,1654.0,,1906.0,59,211.0,297.0,Active,,,http://www.redfin.com/IL/Chicago/4719-S-Greenwood-Ave-60615/unit-3/home/13051126,MRED,10962380,N,Y,41.8090339,-87.598816
MLS Listing,,Condo/Co-op,660 E 51st St Unit 1B,Chicago,IL,60615,210000,2.0,2.0,Grand Boulevard,1650.0,,,61,127.0,293.0,Active,,,http://www.redfin.com/IL/Chicago/660-E-51st-St-60615/unit-1B/home/13950968,MRED,10961602,N,Y,41.8024488,-87.6088405
MLS Listing,,Condo/Co-op,4800 S Chicago Beach Dr Unit 301S,Chicago,IL,60615,175000,2.0,2.0,Kenwood,1198.0,,1962.0,73,146.0,729.0,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Chicago-Beach-Dr-60615/unit-301S/home/13948790,MRED,10957284,N,Y,41.806603,-87.586581
MLS Listing,,Condo/Co-op,4850 S Lake Park Ave #1708,Chicago,IL,60615,55000,2.0,1.0,Kenwood,1100.0,,1970.0,73,50.0,1300.0,Active,,,http://www.redfin.com/IL/Chicago/4850-S-Lake-Park-Ave-60615/unit-1708/home/101613857,MRED,10957069,N,Y,41.8068309,-87.5905143
MLS Listing,,Condo/Co-op,5213 S INGLESIDE Ave Unit 1F,Chicago,IL,60615,89950,1.0,1.0,Hyde Park,,,1917.0,76,,340.0,Active,,,http://www.redfin.com/IL/Chicago/5213-S-Ingleside-Ave-60615/unit-1F/home/13949936,MRED,10955935,N,Y,41.800409,-87.602399
MLS Listing,,Condo/Co-op,1357 E Madison Park Ave Unit C,Chicago,IL,60615,710000,6.0,3.0,Kenwood,3600.0,,,76,197.0,1000.0,Active,,,http://www.redfin.com/IL/Chicago/1357-E-Madison-Park-60615/unit-C/home/13950808,MRED,10955869,N,Y,41.8028453,-87.5929823
MLS Listing,,Condo/Co-op,5000 S East End Ave Unit 3B,Chicago,IL,60615,240000,2.0,2.5,Kenwood,1789.0,,1927.0,77,134.0,1504.0,Active,,,http://www.redfin.com/IL/Chicago/5000-S-East-End-Ave-60615/unit-3B/home/45515355,MRED,10955589,N,Y,41.8042397,-87.5857711
MLS Listing,,Condo/Co-op,1000 E 53rd St Unit 519S,Chicago,IL,60615,145000,1.0,1.0,Hyde Park,750.0,,1973.0,77,193.0,634.0,Active,,,http://www.redfin.com/IL/Chicago/1000-E-53rd-St-60615/unit-519S/home/173966817,MRED,10955477,N,Y,41.7996326,-87.6010241
MLS Listing,,Condo/Co-op,5454 S Kimbark Ave Unit 1W,Chicago,IL,60615,129000,2.0,1.0,Hyde Park,600.0,,,78,215.0,391.0,Active,,,http://www.redfin.com/IL/Chicago/5454-S-Kimbark-Ave-60615/unit-1W/home/173961604,MRED,10954373,N,Y,41.7964673,-87.5952799
MLS Listing,,Condo/Co-op,4734 S ST LAWRENCE Ave Unit 3N,Chicago,IL,60615,149900,2.0,1.5,Grand Boulevard,800.0,,,80,187.0,154.0,Active,,,http://www.redfin.com/IL/Chicago/4734-S-St-Lawrence-Ave-60615/unit-3N/home/12724887,MRED,10953115,N,Y,41.8084356,-87.6116568
MLS Listing,,Multi-Family (2-4 Unit),425 E 48th St,Chicago,IL,60615,525000,7.0,5.0,Grand Boulevard,,3049.0,1900.0,83,,,Active,,,http://www.redfin.com/IL/Chicago/425-E-48th-St-60615/home/13952544,MRED,10951422,N,Y,41.8073659,-87.6153018
MLS Listing,,Condo/Co-op,4800 S Chicago Beach Dr Unit 914N,Chicago,IL,60615,130000,1.0,1.0,Kenwood,773.0,,1962.0,85,168.0,595.0,Active,,,http://www.redfin.com/IL/Chicago/4800-S-Chicago-Beach-Dr-60615/unit-914N/home/13947972,MRED,10950512,N,Y,41.806603,-87.586581
MLS Listing,,Condo/Co-op,5458 S Cornell Ave Unit 2E,Chicago,IL,60615,162000,2.0,1.0,Hyde Park,850.0,,1920.0,85,191.0,294.0,Active,,,http://www.redfin.com/IL/Chicago/5458-S-Cornell-Ave-60615/unit-2E/home/12602988,MRED,10950395,N,Y,41.796428,-87.5859763
MLS Listing,,Condo/Co-op,1000 E 53RD St Unit 502S,Chicago,IL,60615,143900,1.0,1.0,Hyde Park,772.0,,1973.0,86,186.0,604.0,Active,,,http://www.redfin.com/IL/Chicago/1000-E-53rd-St-60615/unit-502S/home/12676925,MRED,10949848,N,Y,41.7996371,-87.6011253
MLS Listing,,Condo/Co-op,5050 S East End Ave Unit 3B,Chicago,IL,60615,129900,2.0,1.0,Kenwood,1120.0,,1955.0,86,116.0,654.0,Active,,,http://www.redfin.com/IL/Chicago/5050-S-East-End-Ave-60615/unit-3B/home/173913872,MRED,10945740,N,Y,41.8028466,-87.5857262
MLS Listing,,Condo/Co-op,4850 S Lake Park Ave Unit 507-B,Chicago,IL,60615,20000,2.0,1.0,Kenwood,1100.0,,1970.0,86,18.0,1114.0,Active,,,http://www.redfin.com/IL/Chicago/4850-S-Lake-Park-Ave-60615/unit-507-B/home/173912887,MRED,10949064,N,Y,41.8068309,-87.5905143
MLS Listing,,Condo/Co-op,834 E HYDE PARK Blvd #1,Chicago,IL,60615,125000,2.0,1.0,Kenwood,1348.0,,,89,93.0,356.0,Active,,,http://www.redfin.com/IL/Chicago/834-E-Hyde-Park-Blvd-60615/unit-1/home/13950920,MRED,10947879,N,Y,41.8028053,-87.6052881
MLS Listing,,Condo/Co-op,1209 E 53RD St #1,Chicago,IL,60615,179000,2.0,2.0,Hyde Park,,,1900.0,90,,468.0,Active,,,http://www.redfin.com/IL/Chicago/1209-E-53rd-St-60615/unit-1/home/13947400,MRED,10946811,N,Y,41.7991555,-87.5962876
